爻名,通し番号,卦番号,爻,爻辞,現代解釈の要約,パターンの分類,点数,キーワード,親となる卦,キーワードタグ,S1_基本スコア,S2_ポテンシャル,S3_安定性スコア,S4_リスク,S5_主体性,S6_変動性スコア,S7_総合評価スコア,論理キーワードタグ
山地剝 六三,137,23,六三,剝之无咎。 （これをはくす。とがなし。） 意味：（自ら）剥がれ去る。咎められることはない。,状況の悪化が避けられないと悟り、抵抗するのをやめ、自らその状況や組織から身を引く。賢明な撤退であり、これ以上の咎めを免れる。,停滞・中立パターン,0,"撤退, 距離を置く, 損失回避",山地剝,"問題なし, 損失回避, 撤退, 距離を置く",42,40,36,45,受動,48,36,"状況:移行期, 力学:協力者あり"
山地剝 六四,138,23,六四,剝牀以膚。凶。 （はくしょういふ。きょう。） 意味：寝台の表面（皮）まで剥がれる。凶。,問題が、もはや隠し通せない核心部分にまで及び、危機が目前に迫っている。地位や財産など、自身にとって極めて重要なものを失う、非常に危険な状況。,破滅パターン,-2,"危機的状況, 深刻化, 痛みを伴う損失",山地剝,"凶, 危機的状況, 深刻化, 痛みを伴う損失",25,25,48,55,受動,56,32,"状況:変革期, 力学:協力者なし"
山地剝 六五,139,23,六五,貫魚。以宮人寵。无不利。 （うおをつらぬく。きゅうじんのちょうをもってす。ふりなきなし。） 意味：魚が連なるように（衆を率いる）。宮人が寵愛を受けるように。不利なことはない。,崩壊寸前の状況下で、唯一残った陽のリーダーが、残された人々（陰）を巧みに統率し、秩序を保つ。その賢明なリーダーシップにより、最悪の事態を回避する。,大勝ちパターン,2,"リーダーシップ, 危機管理, 結束",山地剝,"リーダーシップ, 危機管理, 結束",92,55,64,35,受動,24,60,"状況:絶頂期, 力学:協力者なし, 力学:順当な力関係"
山地剝 上九,140,23,上九,碩果不食。君子得輿。小人剝廬。 （せきかしょくせず。くんしはよをう。しょうじんはろをはくす。） 意味：大きな果実が残される。君子は輿を得る。小人は家を失う。,全てが剥がれ落ちた後、次世代への希望の種（碩果）だけが残る。正しく耐え抜いた賢者（君子）は人々の支持を得て再生し、悪しき者（小人）は全てを失う。,大勝ちパターン,2,"再生, 希望, 新たな始まり, 因果応報",山地剝,"再生, 因果応報, 希望, 新たな始まり",75,55,36,45,能動,44,42,"状況:終極期, 力学:協力者あり"
地雷復 初九,141,24,初九,不遠復。无祇悔。元吉。 （とおからずかえる。くいにいたるなし。げんきち。） 意味：遠くに行かないうちに引き返す。悔いることはない。大いに吉。,過ちに気づき、問題がまだ小さいうちに、すぐに正しい道へと引き返す。その迅速な軌道修正は、最高の幸運を招き、悔いを残さない。,大勝ちパターン,2,"早期修正, 軌道修正, 原点回帰",地雷復,"原点回帰, 吉, 早期修正, 軌道修正",92,55,48,55,能動,56,44,"状況:黎明期, 力学:下剋上リスク, 力学:協力者あり, 心理:内省"
地雷復 六二,142,24,六二,休復。吉。 （きゅうふく。きち。） 意味：安らかに回復する。吉。,周囲の善良な人々（初九の陽爻）に導かれ、無理せず、穏やかに正しい道へと回復していく。周囲との調和の中で、安らかに立ち直れる吉の時。,勝ちパターン,1,"穏やかな回復, 協力, 支援",地雷復,"協力, 吉, 支援, 穏やかな回復",83,40,64,35,受動,20,54,"状況:安定期, 力学:協力者なし"
地雷復 六三,143,24,六三,頻復。厲无咎。 （ひんぷく。あやうけれどとがなし。） 意味：繰り返し回復する。危ういが咎められることはない。,悪癖や間違いを直そうとするが、何度も挫折を繰り返してしまう。不安定で危うい状況だが、それでも回復しようと努力し続ける限り、大きな咎めはない。,停滞・中立パターン,0,"不安定, 挫折, 粘り強さ",地雷復,"リスクあり, 不安定, 問題なし, 挫折, 粘り強さ",42,25,24,70,受動,60,14,"状況:移行期, 力学:協力者なし"
地雷復 六四,144,24,六四,中行独復。 （ちゅうこうどくふく。） 意味：（周りから離れ）中道を行き、一人で回復する。,周囲がまだ過ちの中にいても、それに流されず、ただ一人、正しい道に戻ろうと努力する。孤独だが、その信念に基づいた行動は尊い。,勝ちパターン,1,"孤独な努力, 信念, 自律",地雷復,"信念, 孤独な努力, 自律",75,40,60,25,受動,44,56,"状況:変革期, 力学:協力者あり"
地雷復 六五,145,24,六五,敦復。无悔。 （とんぷく。くいなし。） 意味：篤く回復する。悔やむことはない。,表面的な改善ではなく、心から深く反省し、誠実に、そして根本的に自己を改める。その篤い姿勢が、一切の悔いを残さない、完璧な回復をもたらす。,大勝ちパターン,2,"誠実な反省, 根本的改善, 信頼回復",地雷復,"信頼回復, 根本的改善, 誠実な反省",92,45,56,45,受動,32,48,"状況:絶頂期, 力学:協力者なし, 心理:内省"
地雷復 上六,146,24,上六,迷復。凶。…十年不克征。 （めいふく。きょう。…じゅうねんかつことあたわず。） 意味：回復に迷う。凶。…十年も征伐に勝てない。,回復すべきチャンスがあったにもかかわらず、迷い、過ちを改めなかった者の末路。状況はさらに悪化し、長期にわたって再起不能なほどの、深刻な災いを招く。,破滅パターン,-2,"機会損失, 破滅, 長期停滞",地雷復,"凶, 機会損失, 破滅, 長期停滞",17,25,32,75,能動,68,16,"状況:終極期, 力学:協力者なし"
天雷无妄 初九,147,25,初九,无妄行。吉。 （むもうにしてゆく。きち。） 意味：偽りなく行動する。吉。,物事の始まりにおいて、私心や邪念なく、純粋で誠実な心で行動する。その正しい出発は、自ずと良い結果を引き寄せる。,勝ちパターン,1,"純粋, 誠実, 始まり",天雷无妄,"吉, 始まり, 純粋, 誠実",75,55,60,25,能動,52,62,"状況:黎明期, 力学:協力者あり"
天雷无妄 六二,148,25,六二,不耕獲。不菑畬。則利有攸往。 （たがやさずしてえず。さいせずしてよならず。すなわちゆくところあるによろし。） 意味：耕さずに収穫せず、開墾せずに畑にしない。そうすれば進むのに利がある。,結果を焦り、労力に見合わない成果を求めない。自然の摂理に従い、地道な努力を積み重ねる。その分相応な姿勢が、着実な成功に繋がる。,勝ちパターン,1,"自然体, 無欲, 分相応",天雷无妄,"分相応, 無欲, 自然体",75,80,68,25,能動,20,76,"状況:安定期, 力学:協力者あり"
天雷无妄 六三,149,25,六三,无妄之災。或繫之牛。行人之得。邑人之災。 （むもうのさい。あるいはこれをつなぐうし。こうじんのうる。ゆうじんのわざわい。） 意味：予期せぬ災難。繋いでいた牛を旅人が連れ去り、村人が災難に遭う。,自分に非がないにもかかわらず、予期せぬトラブルや災難に巻き込まれる。理不尽な状況に直面し、損失を被る、避けがたい不運。,破滅パターン,-2,"予期せぬ災難, 理不尽, 巻き込まれ",天雷无妄,"予期せぬ災難, 巻き込まれ, 理不尽",17,40,20,75,能動,76,16,"状況:移行期, 力学:下剋上リスク, 力学:協力者なし"
天雷无妄 九四,150,25,九四,可貞。无咎。 （ていにすべし。とがなし。） 意味：正しくしていればよい。咎められることはない。,予期せぬ災難や困難な状況に直面しても、動揺せず、自身の倫理観や原則を固く守り続ける。その誠実な姿勢が、最終的に咎めを免れさせる。,停滞・中立パターン,0,"忍耐, 信念, 誠実",天雷无妄,"信念, 問題なし, 忍耐, 誠実",58,40,60,25,受動,32,56,"状況:困窮状態, 状況:変革期, 力学:協力者あり, 心理:正道堅持"
天雷无妄 九五,151,25,九五,无妄之疾。勿薬有喜。 （むもうのやまい。くすりをもちうるなかれよろこびあり。） 意味：予期せぬ病。薬を用いなくても喜びがある。,根拠のない批判や疑いをかけられる（予期せぬ病）。しかし、焦って弁解（薬）せず、自然に任せていれば、やがて真実が明らかになり、喜びが訪れる。,勝ちパターン,1,"静観, 自然な解決, 信頼",天雷无妄,"信頼, 自然な解決, 静観",75,60,76,25,受動,12,72,"状況:絶頂期, 力学:協力者あり, 力学:順当な力関係"
天雷无妄 上九,152,25,上九,无妄行。有眚。无攸利。 （むもうにしてゆく。わざわいあり。りするところなし。） 意味：偽りなく行動するが（度を越す）。災いがある。利益はない。,自分の行動が正しいと信じ込むあまり、状況を顧みず、度を越した行動に出てしまう。善意から出た行動であっても、やり過ぎはかえって災難を招く。,破滅パターン,-2,"行き過ぎ, 軽率, 無謀",天雷无妄,"無謀, 行き過ぎ, 軽率",8,50,24,55,能動,68,30,"状況:終極期, 力学:協力者なし"
山天大畜 初九,153,26,初九,有厲。利已。 （あやうきあり。やむによろし。） 意味：危険がある。止まるのが良い。（※ご提示の解釈テキストと異なるため古典解釈を優先）,力を蓄え始める初期段階。まだ前進するには危険が伴うため、無理に行動せず、その場で止まり、状況を見極めるべき時。,停滞・中立パターン,0,"待機, 抑制, 危険回避",山天大畜,"リスクあり, 危険回避, 待機, 抑制",58,50,36,70,能動,68,30,"状況:黎明期, 力学:下剋上リスク, 力学:協力者なし"
山天大畜 九二,154,26,九二,輿説輹。 （よだつふく。） 意味：車の車軸が外れる。,力を蓄えるプロセスに、内部的な問題や対立が生じ、計画が頓挫しかけている状態。このままでは、せっかくの蓄積が無駄になる危険性がある。,やや破滅パターン,-1,"停滞, 機能不全, 障害",山天大畜,"停滞, 機能不全, 障害",50,55,76,25,受動,20,70,"状況:安定期, 力学:協力者あり"
山天大畜 九三,155,26,九三,良馬逐。利艱貞。…利有攸往。 （りょうばおう。かんにしてていなるによろし。…ゆくところあるによろし。） 意味：良い馬が互いに追いかける。困難だが正しければ良い。…行くところに利益がある。,蓄えた力が発揮され始め、良い競争相手と共に成長していく。困難は伴うが、正しい姿勢で臨めば、大きな目標に向かって前進できる。,勝ちパターン,1,"才能開花, 前進, 訓練",山天大畜,"前進, 才能開花, 訓練",58,50,44,45,受動,28,44,"状況:困窮状態, 状況:移行期, 力学:協力者あり, 力学:順当な力関係, 心理:正道堅持"
